# This is a Revit shared parameter file.
# Do not edit manually.
# This file is generated from the NLRS documentation on 08-02-2024. All current Shared Parameters have been included.
*META	VERSION	MINVERSION
META	2	1
*GROUP	ID	NAME
GROUP	1	Common_Angle
GROUP	2	Common_Area
GROUP	3	Common_Currency
GROUP	4	Common_FamilyType
GROUP	5	Common_Image
GROUP	6	Common_Integer
GROUP	7	Common_Length
GROUP	8	Common_Mass Density
GROUP	9	Common_Material
GROUP	10	Common_Multiline Text
GROUP	11	Common_Number
GROUP	12	Common_Slope
GROUP	13	Common_Text
GROUP	14	Common_URL
GROUP	15	Common_Volume
GROUP	16	Common_YesNo
GROUP	17	Electrical_ApparentPower
GROUP	18	Electrical_CableTraySize
GROUP	19	Electrical_ColorTemperature
GROUP	20	Electrical_ConduitSize
GROUP	21	Electrical_Current
GROUP	22	Electrical_DemandFactor
GROUP	23	Electrical_Efficacy
GROUP	24	Electrical_ElectricalPotential
GROUP	25	Electrical_ElectricalResistivity
GROUP	26	Electrical_Frequency
GROUP	27	Electrical_Illuminance
GROUP	28	Electrical_LoadClassification
GROUP	29	Electrical_Luminance
GROUP	30	Electrical_LuminousFlux
GROUP	31	Electrical_LuminousIntensity
GROUP	32	Electrical_NumberOfPoles
GROUP	33	Electrical_Power
GROUP	34	Electrical_PowerDensity
GROUP	35	Electrical_Temperature
GROUP	36	Electrical_TemperatureDifference
GROUP	37	Electrical_Wattage
GROUP	38	Electrical_WireDiameter
GROUP	39	Energy_CoefficientOfHeatTransfer
GROUP	40	Energy_Energy
GROUP	41	Energy_Permeability
GROUP	42	Energy_SpecificHeat
GROUP	43	Energy_SpecificHeatOfEvaporation
GROUP	44	Energy_ThermalConductivity
GROUP	45	Energy_ThermalMass
GROUP	46	Energy_ThermalResistance
GROUP	47	HVAC_AirFlow
GROUP	48	HVAC_AirFlowDensity
GROUP	49	HVAC_AirFlowDividedByCoolingLoad
GROUP	50	HVAC_AirFlowDividedByVolume
GROUP	51	HVAC_AreaDividedByCoolingLoad
GROUP	52	HVAC_AreaDividedByHeatingLoad
GROUP	53	HVAC_CoolingLoad
GROUP	54	HVAC_CoolingLoadDividedByArea
GROUP	55	HVAC_CoolingLoadDividedByVolume
GROUP	56	HVAC_CrossSection
GROUP	57	HVAC_Density
GROUP	58	HVAC_DuctInsulationThickness
GROUP	59	HVAC_DuctLiningThickness
GROUP	60	HVAC_DuctSize
GROUP	61	HVAC_DynamicViscosity
GROUP	62	HVAC_Factor
GROUP	63	HVAC_Friction
GROUP	64	HVAC_HeatGain
GROUP	65	HVAC_HeatingLoad
GROUP	66	HVAC_HeatingLoadDividedByArea
GROUP	67	HVAC_HeatingLoadDividedByVolume
GROUP	68	HVAC_Power
GROUP	69	HVAC_PowerDensity
GROUP	70	HVAC_Pressure
GROUP	71	HVAC_Roughness
GROUP	72	HVAC_Slope
GROUP	73	HVAC_Temperature
GROUP	74	HVAC_TemperatureDifference
GROUP	75	HVAC_Velocity
GROUP	76	Piping_Density
GROUP	77	Piping_DynamicVelocity
GROUP	78	Piping_FixtureUnits
GROUP	79	Piping_Flow
GROUP	80	Piping_Friction
GROUP	81	Piping_Mass
GROUP	82	Piping_MassPerUnitLength
GROUP	83	Piping_PipeDimension
GROUP	84	Piping_PipeInsulationThickness
GROUP	85	Piping_PipeSize
GROUP	86	Piping_Pressure
GROUP	87	Piping_Roughness
GROUP	88	Piping_Slope
GROUP	89	Piping_Temperature
GROUP	90	Piping_TemperatureDifference
GROUP	91	Piping_Velocity
GROUP	92	Piping_Volume
GROUP	93	Structural_Acceleration
GROUP	94	Structural_AreaForce
GROUP	95	Structural_AreaSpringCoefficient
GROUP	96	Structural_BarDiameter
GROUP	97	Structural_CrackWidth
GROUP	98	Structural_DisplacementDeflection
GROUP	99	Structural_Energy
GROUP	100	Structural_Force
GROUP	101	Structural_Frequency
GROUP	102	Structural_LineairForce
GROUP	103	Structural_LineairMoment
GROUP	104	Structural_LineSpringCoefficient
GROUP	105	Structural_Mass
GROUP	106	Structural_MassPerUnitArea
GROUP	107	Structural_MassPerUnitLength
GROUP	108	Structural_Moment
GROUP	109	Structural_MomentOfInertia
GROUP	110	Structural_Period
GROUP	111	Structural_PointSpringCoefficient
GROUP	112	Structural_Pulsation
GROUP	113	Structural_ReinforcementArea
GROUP	114	Structural_ReinforcementAreaPerUnitLength
GROUP	115	Structural_ReinforcementCover
GROUP	116	Structural_ReinforcementLength
GROUP	117	Structural_ReinforcementSpacing
GROUP	118	Structural_ReinforcementVolume
GROUP	119	Structural_Rotation
GROUP	120	Structural_RotationalLineSpringCoefficient
GROUP	121	Structural_RotationalPointSpringCoefficient
GROUP	122	Structural_SectionArea
GROUP	123	Structural_SectionDimension
GROUP	124	Structural_SectionModulus
GROUP	125	Structural_SectionProperty
